claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
0,50,F,1.0,66,39117,1,0,Own,50051,1/2/2016,Saturday,Local,0,0.0,18,Broker,0,5464.903722999999,3.0,Large,16786.28845,blue,34183.436389999995,0
1,47,M,1.0,78,38498,1,0,Own,50012,12/28/2015,Monday,Parking Lot,0,0.0,81,Broker,0,5448.155974,4.0,Large,20793.29881,black,14528.37973,0
2,28,M,0.0,76,33343,0,1,Rent,20158,2/26/2016,Friday,Local,0,1.0,94,Broker,1,1858.971699,4.0,Compact,6729.476490000001,blue,7182.832636,0
3,36,M,1.0,56,35832,1,0,Own,50054,9/20/2015,Sunday,Local,0,1.0,95,Phone,0,4040.932844,5.0,Compact,24914.26785,gray,47891.78879,0
4,60,F,1.0,79,40948,1,1,Rent,80010,4/14/2015,Tuesday,Highway,0,0.0,53,Phone,1,4876.606138,6.0,Medium,17392.41997,black,7546.494014,0
5,50,F,1.0,92,39126,1,1,Own,50047,5/19/2015,Tuesday,Local,0,0.0,41,Broker,0,4468.933539,8.0,Compact,15891.700969999998,silver,52379.71045,0
6,28,M,1.0,89,33327,1,1,Own,85035,1/23/2016,Saturday,Local,0,1.0,50,Broker,1,7656.884209999999,5.0,Compact,35462.72316,black,21971.62412,0
7,55,M,1.0,84,40079,1,0,Own,15032,1/9/2015,Friday,Local,0,0.0,99,Phone,0,6359.792079999999,7.0,Large,9375.375411,red,31493.215560000004,0
8,65,F,1.0,91,41746,1,1,Rent,15043,11/27/2016,Sunday,Local,0,,17,Online,0,3795.643318,5.0,Large,19468.99031,red,18237.07818,0
9,47,M,1.0,85,38505,0,1,Own,15057,12/24/2015,Thursday,Local,0,0.0,95,Broker,0,3819.521132,4.0,Large,18286.27439,black,24021.61606,1
10,34,F,0.0,61,35273,0,1,Own,15025,8/17/2015,Monday,Local,0,1.0,31,Phone,1,6664.526074,6.0,Compact,18105.99322,gray,52983.26926,0
11,42,F,1.0,40,37375,0,0,Own,80003,7/6/2016,Wednesday,Parking Lot,0,0.0,33,Broker,1,4075.462721,11.0,Compact,15441.62367,silver,10341.85651,0
12,42,F,1.0,84,37378,1,0,Own,20141,6/25/2015,Thursday,Parking Lot,0,0.0,100,Broker,0,8561.570005,2.0,Compact,10665.91043,white,14478.80069,0
13,38,F,1.0,55,36383,0,1,Own,15032,3/21/2015,Saturday,Local,1,1.0,24,Broker,1,4316.267436,6.0,Large,24823.20394,white,21784.52567,0
